,code,name,gender,country_x,discipline,event,age,medal_type,team_code,num_athletes
1412,1552495,MATCHARASHVILI Givi,Male,Georgia,Wrestling,Mens Freestyle 97kg,27,Silver Medal,,
1421,1553031,MALAN Giorgio,Male,Italy,Modern Pentathlon,Mens Individual,24,Bronze Medal,,
1428,1553249,UNRUH Florian,Male,Germany,Archery,Mixed Team,31,Silver Medal,ARCXTEAM2---GER01,2.0
1437,1553258,KROPPEN Michelle,Female,Germany,Archery,Mixed Team,28,Silver Medal,ARCXTEAM2---GER01,2.0
1482,1554885,PETRIASHVILI Geno,Male,Georgia,Wrestling,Mens Freestyle 125kg,30,Gold Medal,,
1493,1554972,VEKIC Donna,Female,Croatia,Tennis,Womens Singles,28,Silver Medal,,
1523,1555098,HARRINGTON Kellie,Female,Ireland,Boxing,Womens 60kg,35,Gold Medal,,
1531,1555185,IBANEZ DIAZ Javier,Male,Bulgaria,Boxing,Mens 57kg,28,Bronze Medal,,
1537,1555372,EL BAKKALI Soufiane,Male,Morocco,Athletics,Mens 3000m Steeplechase,28,Gold Medal,,
1554,1555537,ALVAREZ BORGES Erislandy,Male,Cuba,Boxing,Mens 63.5kg,24,Gold Medal,,
1557,1555548,LOPEZ CARDONA Arlen,Male,Cuba,Boxing,Mens 80kg,31,Bronze Medal,,
1565,1555976,KULISH Serhiy,Male,Ukraine,Shooting,50m Rifle 3 Positions Men,31,Silver Medal,,
1576,1556045,DUSMATOV Hasanboy,Male,Uzbekistan,Boxing,Mens 51kg,31,Gold Medal,,
1577,1556049,KHALOKOV Abdumalik,Male,Uzbekistan,Boxing,Mens 57kg,24,Gold Medal,,
1635,1556797,MUYDINKHUJAEV Asadkhuja,Male,Uzbekistan,Boxing,Mens 71kg,23,Gold Medal,,
1640,1556860,MULLOJONOV Lazizbek,Male,Uzbekistan,Boxing,Mens 92kg,25,Gold Medal,,
1641,1556869,JALOLOV Bakhodir,Male,Uzbekistan,Boxing,Mens +92kg,30,Gold Medal,,
1642,1556873,RAMAZANOV Magomed Eldarovitch,Male,Bulgaria,Wrestling,Mens Freestyle 86kg,31,Gold Medal,,
1715,1559387,DUDAEV Islam,Male,Albania,Wrestling,Mens Freestyle 65kg,29,Bronze Medal,,
1718,1559471,NOVIKOV Semen Sergeevich,Male,Bulgaria,Wrestling,Mens Greco-Roman 87kg,27,Gold Medal,,
1720,1559512,NOLOT Lauriane,Female,France,Sailing,Womens Kite,26,Silver Medal,,
1728,1559558,STEYAERT Sarah,Female,France,Sailing,Womens Skiff,38,Bronze Medal,SALW49ERFX--FRA01,2.0
1729,1559559,PICON Charline,Female,France,Sailing,Womens Skiff,40,Bronze Medal,SALW49ERFX--FRA01,2.0
1758,1560673,PILZ Jessica,Female,Austria,Sport Climbing,Womens Boulder & Lead,28,Bronze Medal,,
1759,1560677,SCHUBERT Jakob,Male,Austria,Sport Climbing,Mens Boulder & Lead,34,Bronze Medal,,
1771,1560759,VILLA Giorgia,Female,Italy,Artistic Gymnastics,Womens Team,21,Silver Medal,GARWTEAM----ITA01,5.0
1778,1560760,IORIO Elisa,Female,Italy,Artistic Gymnastics,Womens Team,21,Silver Medal,GARWTEAM----ITA01,5.0
1784,1560761,ANDREOLI Angela,Female,Italy,Artistic Gymnastics,Womens Team,18,Silver Medal,GARWTEAM----ITA01,5.0
1787,1560762,ESPOSITO Manila,Female,Italy,Artistic Gymnastics,Womens Balance Beam,18,Bronze Medal,,
1791,1560762,ESPOSITO Manila,Female,Italy,Artistic Gymnastics,Womens Team,18,Silver Medal,GARWTEAM----ITA01,5.0
1793,1560781,RAMBALDI Luca,Male,Italy,Rowing,Mens Quadruple Sculls,30,Silver Medal,ROWMSCULL4--ITA01,4.0
1812,1561138,VIERU Denis,Male,Republic of Moldova,Judo,Men -66 kg,28,Bronze Medal,,
1833,1561316,GRAMBUSCH Tom,Male,Germany,Hockey,Men,29,Silver Medal,HOCMTEAM11--GER01,18.0
1834,1561318,WELLEN Niklas,Male,Germany,Hockey,Men,30,Silver Medal,HOCMTEAM11--GER01,18.0
1835,1561319,GRAMBUSCH Mats,Male,Germany,Hockey,Men,32,Silver Medal,HOCMTEAM11--GER01,18.0
1836,1561320,MILTKAU Marco,Male,Germany,Hockey,Men,34,Silver Medal,HOCMTEAM11--GER01,18.0
1837,1561321,MUELLER Mathias,Male,Germany,Hockey,Men,32,Silver Medal,HOCMTEAM11--GER01,18.0
1838,1561322,RUEHR Christopher,Male,Germany,Hockey,Men,31,Silver Medal,HOCMTEAM11--GER01,18.0
1839,1561323,WINDFEDER Lukas,Male,Germany,Hockey,Men,29,Silver Medal,HOCMTEAM11--GER01,18.0
1840,1561324,ZWICKER Martin,Male,Germany,Hockey,Men,37,Silver Medal,HOCMTEAM11--GER01,18.0
1841,1561325,GROSSE Johannes,Male,Germany,Hockey,Men,27,Silver Medal,HOCMTEAM11--GER01,18.0
1852,1561360,KAUFMANN Paul-Phili,Male,Germany,Hockey,Men,28,Silver Medal,HOCMTEAM11--GER01,18.0
1853,1561362,PRINZ Thies,Male,Germany,Hockey,Men,26,Silver Medal,HOCMTEAM11--GER01,18.0
1854,1561365,HINRICHS Teo,Male,Germany,Hockey,Men,25,Silver Medal,HOCMTEAM11--GER01,18.0
1855,1561374,HELLWIG Malte,Male,Germany,Hockey,Men,27,Silver Medal,HOCMTEAM11--GER01,18.0
1856,1561377,MUELLER Hannes,Male,Germany,Hockey,Men,24,Silver Medal,HOCMTEAM11--GER01,18.0
1857,1561381,WEIGAND Justus,Male,Germany,Hockey,Men,24,Silver Medal,HOCMTEAM11--GER01,18.0
1858,1561386,LUDWIG Moritz,Male,Germany,Hockey,Men,23,Silver Medal,HOCMTEAM11--GER01,18.0
1864,1561402,DANNEBERG Jean-Paul,Male,Germany,Hockey,Men,22,Silver Medal,HOCMTEAM11--GER01,18.0
1868,1561413,PEILLAT Gonzalo,Male,Germany,Hockey,Men,32,Silver Medal,HOCMTEAM11--GER01,18.0
1897,1562157,ABDULLAEV Gulomjon,Male,Uzbekistan,Wrestling,Mens Freestyle 57kg,26,Bronze Medal,,
1898,1562164,JAMALOV Razambek Salambekovitch,Male,Uzbekistan,Wrestling,Mens Freestyle 74kg,26,Gold Medal,,
1942,1562400,MUSETTI Lorenzo,Male,Italy,Tennis,Mens Singles,22,Bronze Medal,,
1949,1562409,ERRANI Sara,Female,Italy,Tennis,Womens Doubles,37,Gold Medal,TENWDOUBLES-ITA01,2.0
2010,1562864,EHLERS Nils,Male,Germany,Beach Volleyball,Men,30,Silver Medal,VBVMTEAM2---GER01,2.0
2011,1562868,WICKLER Clemens,Male,Germany,Beach Volleyball,Men,29,Silver Medal,VBVMTEAM2---GER01,2.0
2033,1563010,AHMED Sara,Female,Egypt,Weightlifting,Womens 81kg,26,Silver Medal,,
2038,1563082,BUTKEREIT Miriam,Female,Germany,Judo,Women -70 kg,30,Silver Medal,,
2062,1563321,KALUCKA Aleksandra,Female,Poland,Sport Climbing,Womens Speed,23,Bronze Medal,,
2065,1563327,MIROSLAW Aleksandra,Female,Poland,Sport Climbing,Womens Speed,30,Gold Medal,,
2069,1563381,KALLBERG Anton,Male,Sweden,Table Tennis,Mens Team,27,Silver Medal,TTEMTEAM----SWE01,3.0
2076,1563386,KARLSSON Kristian,Male,Sweden,Table Tennis,Mens Team,33,Silver Medal,TTEMTEAM----SWE01,3.0
2078,1563390,MOREGARD Truls,Male,Sweden,Table Tennis,Mens Singles,22,Silver Medal,,
2079,1563390,MOREGARD Truls,Male,Sweden,Table Tennis,Mens Team,22,Silver Medal,TTEMTEAM----SWE01,3.0
2082,1563437,OSMANOV Adil,Male,Republic of Moldova,Judo,Men -73 kg,24,Bronze Medal,,
2102,1563544,GARRIGOS Francisco,Male,Spain,Judo,Men -60 kg,30,Bronze Medal,,
2126,1563681,SORRIBES TORMO Sara,Female,Spain,Tennis,Womens Doubles,28,Bronze Medal,TENWDOUBLES-ESP01,2.0
2130,1563682,ALCARAZ Carlos,Male,Spain,Tennis,Mens Singles,21,Silver Medal,,
2131,1563687,BUCSA Cristina,Female,Spain,Tennis,Womens Doubles,26,Bronze Medal,TENWDOUBLES-ESP01,2.0
2177,1564023,RISSVEDS Jenny,Female,Sweden,Cycling Mountain Bike,Womens Cross-country,30,Bronze Medal,,
2179,1564189,CAMPBELL Rajindra,Male,Jamaica,Athletics,Mens Shot Put,28,Bronze Medal,,
2190,1564362,KHYZHNIAK Oleksandr,Male,Ukraine,Boxing,Mens 80kg,29,Gold Medal,,
2205,1564506,CIRILO DUBOYS Yarisleidis,Female,Cuba,Canoe Sprint,Womens Canoe Single 200m,22,Bronze Medal,,
2230,1564651,KARLSSON Lovisa,Female,Sweden,Sailing,Mixed Dinghy,29,Bronze Medal,SALX470-----SWE01,2.0
2231,1564652,DAHLBERG Anton,Male,Sweden,Sailing,Mixed Dinghy,39,Bronze Medal,SALX470-----SWE01,2.0
2232,1564653,BOBECK Vilma,Female,Sweden,Sailing,Womens Skiff,26,Silver Medal,SALW49ERFX--SWE01,2.0
2235,1564657,NETZLER Rebecca,Female,Sweden,Sailing,Womens Skiff,29,Silver Medal,SALW49ERFX--SWE01,2.0
2264,1564886,TARHAN Sevval Ilayda,Female,Türkiye,Shooting,10m Air Pistol Mixed Team,24,Silver Medal,SHOXAPMT----TUR02,2.0
2271,1564893,DIKEC Yusuf,Male,Türkiye,Shooting,10m Air Pistol Mixed Team,51,Silver Medal,SHOXAPMT----TUR02,2.0
2280,1565000,GAZOZ Mete,Male,Türkiye,Archery,Mens Team,25,Bronze Medal,ARCMTEAM3---TUR01,3.0
2283,1565002,TUMER Berkim,Male,Türkiye,Archery,Mens Team,22,Bronze Medal,ARCMTEAM3---TUR01,3.0
2285,1565006,YILDIRMIS Abdullah,Male,Türkiye,Archery,Mens Team,21,Bronze Medal,ARCMTEAM3---TUR01,3.0
2361,1565754,TUROBOYEV Muzaffarbek,Male,Uzbekistan,Judo,Men -100 kg,24,Bronze Medal,,
2412,1566421,POLLERES Michaela,Female,Austria,Judo,Women -70 kg,27,Bronze Medal,,
2420,1566437,BONTUS Valentin,Male,Austria,Sailing,Mens Kite,23,Gold Medal,,
2425,1566447,MAEHR Lukas,Male,Austria,Sailing,Mixed Dinghy,34,Gold Medal,SALX470-----AUT01,2.0
2426,1566451,VADLAU Lara,Female,Austria,Sailing,Mixed Dinghy,30,Gold Medal,SALX470-----AUT01,2.0
2433,1566564,CHIA Aaron,Male,Malaysia,Badminton,Mens Doubles,27,Bronze Medal,BDMMDOUBLES-MAS01,2.0
2435,1566601,DZHUZUPBEKOV Uzur,Male,Kyrgyzstan,Wrestling,Mens Greco-Roman 97kg,28,Bronze Medal,,
2439,1566617,LEE Zii Jia,Male,Malaysia,Badminton,Mens Singles,26,Bronze Medal,,
2441,1566627,MAKHMUDOV Akzhol,Male,Kyrgyzstan,Wrestling,Mens Greco-Roman 77kg,25,Bronze Medal,,
2443,1566631,SHARSHENBEKOV Zholaman,Male,Kyrgyzstan,Wrestling,Mens Greco-Roman 60kg,25,Bronze Medal,,
2446,1566681,BARSHIM Mutaz Essa,Male,Qatar,Athletics,Mens High Jump,33,Bronze Medal,,
2455,1566738,KUS AYDIN Nafia,Female,Türkiye,Taekwondo,Women +67kg,29,Bronze Medal,,
2462,1566931,YUSUPOV Alisher,Male,Uzbekistan,Judo,Men +100 kg,26,Bronze Medal,,
2471,1566997,KELDIYOROVA Diyora,Female,Uzbekistan,Judo,Women -52 kg,26,Gold Medal,,
2486,1567359,DEFAY Johanne,Female,France,Surfing,Women,31,Bronze Medal,,
2488,1567361,VAAST Kauli,Male,France,Surfing,Men,22,Gold Medal,,
2495,1567512,RAKHIMOV Temur,Male,Tajikistan,Judo,Men +100 kg,27,Bronze Medal,,
2551,1568182,CAKIROGLU Buse Naz,Female,Türkiye,Boxing,Womens 50kg,28,Silver Medal,,
2552,1568186,AKBAS Hatice,Female,Türkiye,Boxing,Womens 54kg,23,Silver Medal,,
2557,1568204,YILDIZ KAHRAMAN Esra,Female,Türkiye,Boxing,Womens 57kg,27,Bronze Medal,,
2565,1568241,ZHUMANAZAROVA Meerim,Female,Kyrgyzstan,Wrestling,Womens Freestyle 68kg,25,Silver Medal,,
2576,1568350,CSIPES Tamara,Female,Hungary,Canoe Sprint,Womens Kayak Single 500m,35,Silver Medal,,
2577,1568350,CSIPES Tamara,Female,Hungary,Canoe Sprint,Womens Kayak Double 500m,35,Silver Medal,CSPWK2-500M-HUN01,2.0
2578,1568350,CSIPES Tamara,Female,Hungary,Canoe Sprint,Womens Kayak Four 500m,35,Bronze Medal,CSPWK4-500M-HUN01,4.0
2606,1568595,VERGIAT Timothe,Male,France,3x3 Basketball,Men,26,Silver Medal,BK3MTEAM3---FRA01,4.0
2607,1568603,SEGUELA Franck,Male,France,3x3 Basketball,Men,27,Silver Medal,BK3MTEAM3---FRA01,4.0
2608,1568606,DUSSOULIER Lucas,Male,France,3x3 Basketball,Men,28,Silver Medal,BK3MTEAM3---FRA01,4.0
2609,1568608,RAMBAUT Jules,Male,France,3x3 Basketball,Men,26,Silver Medal,BK3MTEAM3---FRA01,4.0
2611,1568655,SZEREMETA Julia,Female,Poland,Boxing,Womens 57kg,21,Silver Medal,,
2615,1568724,PIZZOLATO Antonino,Male,Italy,Weightlifting,Mens 89kg,28,Bronze Medal,,
2619,1568745,FOJT Sara,Female,Hungary,Canoe Sprint,Womens Kayak Double 500m,21,Bronze Medal,CSPWK2-500M-HUN02,2.0
2620,1568745,FOJT Sara,Female,Hungary,Canoe Sprint,Womens Kayak Four 500m,21,Bronze Medal,CSPWK4-500M-HUN01,4.0
2623,1568750,GAZSO Alida Dora,Female,Hungary,Canoe Sprint,Womens Kayak Double 500m,24,Silver Medal,CSPWK2-500M-HUN01,2.0
2624,1568750,GAZSO Alida Dora,Female,Hungary,Canoe Sprint,Womens Kayak Four 500m,24,Bronze Medal,CSPWK4-500M-HUN01,4.0
2659,1569203,DUPLANTIS Armand,Male,Sweden,Athletics,Mens Pole Vault,25,Gold Medal,,
2686,1569563,KUO Hsing-Chun,Female,Chinese Taipei,Weightlifting,Womens 59kg,31,Bronze Medal,,
2695,1569832,TSIKHANTSOU Yauheni,Male,AIN,Weightlifting,Mens 102kg,26,Bronze Medal,,
2698,1569852,LEE Meng Yuan,Male,Chinese Taipei,Shooting,Skeet Men,30,Bronze Medal,,
2708,1569961,SOH Wooi Yik,Male,Malaysia,Badminton,Mens Doubles,26,Bronze Medal,BDMMDOUBLES-MAS01,2.0
2711,1569972,KOPASZ Balint,Male,Hungary,Canoe Sprint,Mens Kayak Single 1000m,27,Bronze Medal,,
2715,1569986,STOJKOVIC Lena,Female,Croatia,Taekwondo,Women -49kg,22,Bronze Medal,,
2731,1570105,WANG Chi-Lin,Male,Chinese Taipei,Badminton,Mens Doubles,29,Gold Medal,BDMMDOUBLES-TPE01,2.0
