,name,gender,country,disciplines,events
4852,GORBENKO Anastasia,Female,Israel,Swimming,Womens 200m Individual Medley
4853,GORBENKO Anastasia,Female,Israel,Swimming,Womens 400m Individual Medley
4854,GORBENKO Anastasia,Female,Israel,Swimming,Womens 4 x 200m Freestyle Relay
4855,GORBENKO Anastasia,Female,Israel,Swimming,Mixed 4 x 100m Medley Relay
4856,GOLOVATY Daria,Female,Israel,Swimming,Womens 4 x 200m Freestyle Relay
4857,GOLOVATY Daria,Female,Israel,Swimming,Relay Only Athlete
4858,NASSAR Ahmed,Male,Egypt,Taekwondo,Men -68kg
4859,ABDALLA Yaseen,Male,Sudan,Athletics,Mens Marathon
4860,ELBAKH Faris Ibrahim E,Male,Qatar,Weightlifting,Mens 102kg
4861,EISSA Seif,Male,Egypt,Taekwondo,Men -80kg
4862,SHEHATA Aya,Female,Egypt,Taekwondo,Women -67kg
4863,GERCHIK David,Male,Israel,Swimming,Mens 200m Backstroke
4864,LOKTEV Denis,Male,Israel,Swimming,Mens 200m Freestyle
4865,LOKTEV Denis,Male,Israel,Swimming,Mens 4 x 100m Freestyle Relay
4866,LOKTEV Denis,Male,Israel,Swimming,Mens 4 x 200m Freestyle Relay
4867,BEN SHITRIT Eitan,Male,Israel,Swimming,Mens 4 x 200m Freestyle Relay
4868,BEN SHITRIT Eitan,Male,Israel,Swimming,Relay Only Athlete
4869,COHEN GROUMI Gal,Male,Israel,Swimming,Mens 100m Butterfly
4870,COHEN GROUMI Gal,Male,Israel,Swimming,Mens 4 x 100m Freestyle Relay
4871,COHEN GROUMI Gal,Male,Israel,Swimming,Mens 4 x 200m Freestyle Relay
4872,COHEN GROUMI Gal,Male,Israel,Swimming,Mixed 4 x 100m Medley Relay
4873,POLONSKY Lea,Female,Israel,Swimming,Womens 200m Freestyle
4874,POLONSKY Lea,Female,Israel,Swimming,Womens 200m Individual Medley
4875,POLONSKY Lea,Female,Israel,Swimming,Womens 4 x 200m Freestyle Relay
4876,KARTAVI Martin,Male,Israel,Swimming,Mens 50m Freestyle
4877,CHERUTI Meiron Amir,Male,Israel,Swimming,Mens 50m Freestyle
4878,POLONSKY Ron,Male,Israel,Swimming,Mens 100m Breaststroke
4879,POLONSKY Ron,Male,Israel,Swimming,Mens 200m Individual Medley
4880,POLONSKY Ron,Male,Israel,Swimming,Mixed 4 x 100m Medley Relay
4881,FRANKEL Tomer,Male,Israel,Swimming,Mens 100m Butterfly
4882,FRANKEL Tomer,Male,Israel,Swimming,Mens 100m Freestyle
4883,FRANKEL Tomer,Male,Israel,Swimming,Mens 4 x 100m Freestyle Relay
4884,FRANKEL Tomer,Male,Israel,Swimming,Mens 4 x 200m Freestyle Relay
4885,GLIVINSKIY Alexey,Male,Israel,Swimming,Mens 4 x 100m Freestyle Relay
4886,GLIVINSKIY Alexey,Male,Israel,Swimming,Relay Only Athlete
4887,IBRAHIM ADEL,Male,Egypt,Football,Men
4888,BOLIUKH Kirill,Male,Ukraine,Diving,Mens Synchronised 10m Platform
4889,KOLODIY Oleg,Male,Ukraine,Diving,Mens Synchronised 3m Springboard
4890,SEREDA Oleksii,Male,Ukraine,Diving,Mens 10m Platform
4891,SEREDA Oleksii,Male,Ukraine,Diving,Mens Synchronised 10m Platform
4892,KONOVALOV Danylo,Male,Ukraine,Diving,Mens Synchronised 3m Springboard
4893,BAILO Kseniia,Female,Ukraine,Diving,Womens Synchronised 10m Platform
4894,LYSKUN Sofiia,Female,Ukraine,Diving,Womens 10m Platform
4895,LYSKUN Sofiia,Female,Ukraine,Diving,Womens Synchronised 10m Platform
4896,KESAR Viktoriya,Female,Ukraine,Diving,Womens 3m Springboard
4897,KESAR Viktoriya,Female,Ukraine,Diving,Womens Synchronised 3m Springboard
4898,PYSMENSKA Anna,Female,Ukraine,Diving,Womens Synchronised 3m Springboard
4899,ALEKSIIVA Maryna,Female,Ukraine,Artistic Swimming,Duet
4900,ALEKSIIVA Vladyslava,Female,Ukraine,Artistic Swimming,Duet
4901,SVITOLINA Elina,Female,Ukraine,Tennis,Womens Singles
4902,KICHENOK Nadiia,Female,Ukraine,Tennis,Womens Doubles
4903,KICHENOK Lyudmyla,Female,Ukraine,Tennis,Womens Doubles
4904,YASTREMSKA Dayana,Female,Ukraine,Tennis,Womens Doubles
4905,YASTREMSKA Dayana,Female,Ukraine,Tennis,Womens Singles
4906,KOSTYUK Marta,Female,Ukraine,Tennis,Womens Doubles
4907,KOSTYUK Marta,Female,Ukraine,Tennis,Womens Singles
4908,KUZYA,Male,Ukraine,Breaking,B-Boys
